user,item,rating
A3F73SC1LY51OO,B00002243X,5.0
A20S66SKYXULG2,B00002243X,4.0
A2I8LFSN2IS5EO,B00002243X,5.0
A3GT2EWQSO45ZG,B00002243X,5.0
A3ESWJPAVRPWB4,B00002243X,5.0
A1ORODEBRN64C,B00002243X,5.0
A2R49ZN3G6FTCQ,B00002243X,5.0
A1Q65KYDKXIX8E,B00002243X,5.0
A3BI8BKIHESDNQ,B00002243X,4.0
A1R089P5AS26UE,B00002243X,5.0
A2TQST4IPVA0EC,B00002243Z,4.0
A3MQAQT8C6D1I7,B00002243Z,5.0
A1C6RZG7XQZBUZ,B00002243Z,5.0
A3GT2EWQSO45ZG,B00002243Z,4.0
A3I23XW4L5ITOG,B00002243Z,4.0
A30ASPRK2VP8QC,B00002243Z,4.0
A1KKOA3FP2DMBW,B00008BKX5,3.0
A3L1VJMHFWONCB,B00008BKX5,4.0
A1HPC4BDRLR60,B00008BKX5,5.0
A3IHX99Z9OK2Y9,B00008BKX5,5.0
AT5F1MKA8C2IZ,B00008BKX5,5.0
A4YV49T8Y0X94,B00008BKX5,4.0
A204K1OFE8OB9Y,B00008BKX5,5.0
A36HBGDEFPWD0U,B00008RW9U,5.0
A2FJKITDY5UUHJ,B00008RW9U,3.0
A3LYC4BXRDE5RZ,B00008RW9U,2.0
AEL6CQNQXONBX,B00008RW9U,5.0
A3APEIJOQXE142,B00008RW9U,5.0
A24EQC4LXYPT4E,B00008RW9U,5.0
A2H5KD2A9MUZEX,B00008RW9U,5.0
A1LOENXGC0WRI2,B00008RW9U,5.0
A32TGXG3ZWJ4DY,B00008RW9U,5.0
AHC2CUX3AWPHC,B00008RW9U,5.0
A2RO3DC31WU3LY,B00008RW9U,5.0
A1CIBI697YK58A,B00008RW9U,5.0
A1QF996642YT9L,B00008RW9U,3.0
A3NEAETOSXDBOM,B00008RW9U,5.0
A38T1X0WFI8K9L,B00008RW9U,5.0
A33ASQ3O2MIPNP,B00008RW9U,5.0
A1F9Z42CFF9IAY,B00008RW9U,5.0
A20ZLDHGXMVT8H,B00008RW9U,5.0
A3MH75XEELHGY0,B00008RW9U,4.0
AVQDEM0DQJC0B,B00008RW9V,5.0
AP37T7UPLQGWU,B00008RW9V,5.0
A22QKNGN59XYZG,B00008RW9V,5.0
A30XYS6AQ17DNK,B00008RW9V,5.0
A1IU7S4HCK1XK0,B00008RW9V,5.0
A2YDD9A0U77LYS,B00008RW9V,3.0
A2XXRN2ANQDBKO,B00008RW9V,5.0
A3155NWLKXEY1I,B00009RAX7,5.0
A31Y28UEDXQ0HB,B00009RAX7,5.0
A9GPCR9WJQCCJ,B00009RAX7,4.0
A2TT3U4U8NMWEL,B00009RAX7,5.0
AEWYUPCNDV7HY,B00009RAX7,5.0
A3REK3OFONWB1Q,B00009RAX7,5.0
AT8TS7XTO8TIE,B00009W3G7,5.0
AQJUBIWM5GPEZ,B00009W3G7,4.0
A1TRAEV7QWA5DX,B00009W3G7,5.0
A3NHUQ33CFH3VM,B00009W3G7,3.0
A1UK8H3Z0AN2YA,B00009W3G7,5.0
A27YMV29BOMCV3,B00009W3G7,5.0
A2YCR42YHJFI3Z,B00009W3G7,5.0
A2IID0Z6EHF5KP,B00009W3G7,5.0
A11YIHB6IW352W,B00009W3G7,5.0
APS831ZLF95PS,B00009W3G7,5.0
A58N07M0ZCYMB,B00009W3G7,5.0
A3CG93783LP0FO,B00009W3G7,5.0
A3FP9141P7DHT6,B0000ATZD5,4.0
ARAKTT5M3DDYA,B0000ATZD5,5.0
AVOOU49YPVHGN,B0000ATZD5,5.0
A3N1BZ7190CI3J,B0000ATZD5,5.0
A3OU81LAFVJOIN,B0000ATZD5,5.0
A1CMD08Z49PGKQ,B0000ATZD5,3.0
A11OH777695MM7,B0000ATZD5,5.0
A1HI4VM5Q4LUET,B0000ATZDE,4.0
A10FHIE6EYFOUG,B0000ATZDE,5.0
A3AY333WHF4H3E,B0000ATZDE,4.0
A2C7BBZMDFO5D7,B0000ATZDE,5.0
A1XB48WXBCHM6N,B0000ATZDE,4.0
A314KKDIJWCNMV,B0000AXNMO,5.0
A34KAA7V803KJA,B0000AXNMO,4.0
A1DIPVFBDL4W6R,B0000AXNMO,4.0
A3STK5WDK5UB58,B0000AXNMO,5.0
A2HD6G443MGH2A,B0000AXNMO,4.0
A3HKTLQYKZYM4S,B0000AXNMO,5.0
AVRFK0I9WDS2P,B0000AXNMO,5.0
