user,item,rating
A11N155CW1UV02,B000H00VBQ,2.0
A3BC8O2KCL29V2,B000H00VBQ,5.0
A60D5HQFOTSOM,B000H00VBQ,1.0
A1RJPIGRSNX4PW,B000H00VBQ,4.0
A16XRPF40679KG,B000H00VBQ,5.0
A1POFVVXUZR3IQ,B000H00VBQ,5.0
A1PG2VV4W1WRPL,B000H0X79O,3.0
ATASGS8HZHGIB,B000H0X79O,3.0
A3RXD7Z44T9DHW,B000H0X79O,5.0
AUX8EUBNTHIIU,B000H0X79O,3.0
AXM3GQLD0CHIL,B000H0X79O,4.0
A398QSASJOIKA6,B000H29TXU,4.0
A2U61O0KWJH3MM,B000H29TXU,3.0
A2LSZFEFTDRDIJ,B000H29TXU,3.0
A39F2EW27YYUDM,B000H29TXU,5.0
AO1Z63O9CTT95,B000H29TXU,2.0
A1378ZJMWCTVT3,B000H2DMME,3.0
A2JE0JYIZL5NU4,B000H2DMME,3.0
A2LSZFEFTDRDIJ,B000H2DMME,5.0
A3RXD7Z44T9DHW,B000H2DMME,5.0
AAWV26JJ1SGS0,B000H2DMME,3.0
AS2AMJR6JJZSS,B000H2DMME,5.0
AXM3GQLD0CHIL,B000H2DMME,5.0
AYCGI5JRRISTJ,B000H2DMME,5.0
A1939G7K0LLQ8P,B000H2DMME,3.0
A2LUBUMIQEVWD3,B000H2DMME,3.0
A3DG93E8TXMKZF,B000H4YNM0,3.0
ALLV1OUJL3WN6,B000H4YNM0,5.0
A2MOIORZE53NL8,B000H4YNM0,5.0
ALZWY9L4E5GXO,B000H4YNM0,5.0
A2WDV8ACOG5LSA,B000H4YNM0,3.0
ADJ9W8DJJKDJO,B000H4YNM0,1.0
A3NFIJUVEAJGP,B000H4YNM0,1.0
A2REG1E0F7XXJL,B000H4YNM0,5.0
A1NF9WS7RR82MX,B000H4YNM0,5.0
AL6Q4IIX5MFQZ,B000H4YNM0,3.0
A356RFKNIG043B,B000H4YNM0,5.0
A3BB3I7M3IQ9Q0,B000H4YNM0,4.0
A2QWF2BJ2FM4R2,B000H4YNM0,5.0
AN6NGSXZXMZZ9,B000H4YNM0,1.0
ATC7DTGWH0QRV,B000H4YNM0,5.0
ATECU14VUIOJ0,B000H4YNM0,4.0
A1MNUAXPWP8BUJ,B000H4YNM0,3.0
A3RA13OPEIKLQ9,B000H4YNM0,5.0
AJKWF4W7QD4NS,B000H4YNM0,5.0
AHYJONIS0LE1X,B000H4YNM0,5.0
A1JVOV54H4ZVFC,B000H4YNM0,4.0
A21OAQRLS6OAW3,B000H4YNM0,5.0
A3UKF6Q4NCPQR3,B000H4YNM0,5.0
A9W4HRJ4P6G5A,B000H4YNM0,5.0
A1GUJPIEN0XH4Q,B000HAB4NK,5.0
A5M1M9IJEQ8J2,B000HAB4NK,5.0
AD342OQX4EFN7,B000HAB4NK,5.0
A2PUHH4ET0N0JE,B000HAB4NK,5.0
A32ZOSZVX052IJ,B000HAB4NK,5.0
A1S23DO741NAPV,B000HAB4NK,5.0
A7WT61P4D6W0H,B000HAB4NK,2.0
A2HVL790PBWYTU,B000HAB4NK,5.0
A2BFIYZYNK54QX,B000HAB4NK,5.0
A1ZR8F86DJRVLX,B000HAB4NK,5.0
A3ENBNVNDMFOPK,B000HAB4NK,5.0
A691XU34BVWME,B000HAB4NK,1.0
A2VN9XRV211S63,B000HAB4NK,5.0
A2QWF2BJ2FM4R2,B000HAB4NK,4.0
A3UJB66XI5OOTR,B000HAB4NK,5.0
A2I6MHMAZZDCRX,B000HAB4NK,5.0
A331OF34UX4Y1K,B000HAB4NK,4.0
A3LZGLA88K0LA0,B000HAB4NK,5.0
A3TV5LHUDB7H06,B000HAB4NK,5.0
A3T5NSG7LMRY0A,B000HAB4NK,5.0
A18HCHX9MHJ42Q,B000HAB4NK,5.0
A10KVORU2FMSOG,B000HAB4NK,5.0
A36EKEC9C4P2QH,B000HAB4NK,5.0
A2FYMNCON6I16U,B000HAB4NK,5.0
ARMVAHWQQ9S8A,B000HAB4NK,5.0
AER15RIMV8E6D,B000HAB4NK,5.0
A2XPJRP7EGX732,B000HAB4NK,5.0
ACZ77TXF1LNMJ,B000HAB4NK,5.0
A32ROCXVVJRKSM,B000HAB4NK,5.0
A2U5WUR3YCVOLI,B000HAB4NK,4.0
AQP1VPK16SVWM,B000HAB4NK,5.0
A2DO8VDL44621,B000HAB4NK,5.0
AP3B615GM191G,B000HAB4NK,5.0
A279AT4OT92T2E,B000HKWE3O,5.0
A1F8K8UJAT9BSM,B000HKWE3O,5.0
A10KVORU2FMSOG,B000HKWE3O,4.0
A2PI7R368PGMVD,B000HKWE3O,5.0
A2YODUWYK547ID,B000HKWE3O,5.0
A31JTMZQF2Z1GT,B000HZEHL6,4.0
A3AP3CDXP7HF6Y,B000HZEHL6,5.0
AB0GGIQBNB36Q,B000HZEHL6,4.0
A2F7CCPK4QL359,B000HZEHL6,5.0
A89NXH5WEOEJM,B000HZEHL6,5.0
AVK8EK50NY2O7,B000HZEHL6,5.0
A2BHEPYIDR182L,B000HZEHL6,5.0
A1SDA5A53Z5AQ9,B000HZEHL6,5.0
A1UOTG037037XY,B000HZEHL6,4.0
A1BLPBS90I0GRK,B000HZEHL6,5.0
A1U11PS71ML0YJ,B000HZEHL6,5.0
A2TXR85WQLE32N,B000HZEHL6,5.0
APL6O92MS25MJ,B000HZEHL6,4.0
A32B6XWNR55SRL,B000HZEHL6,5.0
A3CRNB557EW50L,B000HZEHL6,5.0
A2RD1DGD4B61ZT,B000HZEHL6,5.0
A2SFUXVK5RP8VE,B000HZEHL6,5.0
A1NKDHSM1D0O00,B000HZEHL6,4.0
AJ7SBFCIXPJM1,B000HZEHL6,5.0
A3KX8D6NEZN50Z,B000HZEHL6,5.0
A277Q2EXN4LSO8,B000HZEHL6,5.0
A317L56T9Q55C2,B000HZEHL6,3.0
A1XYM0DQWWHQEK,B000I5PVD8,5.0
ADNPIJY4C1OYU,B000I5PVD8,3.0
A2B913IHK6DJXN,B000I5PVD8,2.0
A1THRWHZHFQ5TC,B000I5PVD8,3.0
AUK6ECH59NWS7,B000I5PVD8,3.0
A2Z7UOGHVYUKBZ,B000I5PVD8,4.0
A2D71Z5MH6B5H2,B000I5PVD8,5.0
A2LY80X4P9WNMS,B000I5PVD8,5.0
AOSKVP0O69GI,B000I5PVD8,4.0
A3G3IGM853CTM1,B000I5PVD8,3.0
AUK6ECH59NWS7,B000I5Q0ZG,4.0
A2U3LZ2KJB1071,B000I5Q0ZG,5.0
A2Z7UOGHVYUKBZ,B000I5Q0ZG,4.0
A1IDIJQ3VUMMP9,B000I5Q0ZG,4.0
A2PI8HT5LKH9BQ,B000I5Q0ZG,3.0
A3K0E9JKGAHI5T,B000I5RENI,5.0
AF3L9HOKN1LHJ,B000I5RENI,5.0
AUK6ECH59NWS7,B000I5RENI,4.0
A2U3LZ2KJB1071,B000I5RENI,5.0
A1WNVZCUUF3KUY,B000I5RENI,5.0
A2PI8HT5LKH9BQ,B000I5RENI,5.0
AUK6ECH59NWS7,B000I62JFU,3.0
A2Z7UOGHVYUKBZ,B000I62JFU,4.0
A2LY80X4P9WNMS,B000I62JFU,5.0
A28X8OSUDWMH1X,B000I62JFU,4.0
AAD32KTYF3DM0,B000I62JFU,5.0
A3HD5775BDCBZ,B000I8FOZA,3.0
A2AYC6LH5H781Y,B000I8FOZA,5.0
A2ZWPX8M57V6BQ,B000I8FOZA,4.0
ARADEBLBT3P17,B000I8FOZA,1.0
ABVYGB2TKBO8F,B000I8FOZA,4.0
ASCWWM8JQE0IE,B000I8FOZA,4.0
A14SNJ7UV0U434,B000I8FOZA,4.0
A2EV34WFAYU8JO,B000I8FOZA,4.0
A1B9B1YZYS3B0S,B000I8FOZA,5.0
A3S3KU23F9TAAP,B000I8H2ZU,5.0
A2LZDPPCDRUBG6,B000I8H2ZU,5.0
AL5P6IG4WZ57J,B000I8H2ZU,4.0
AAWV26JJ1SGS0,B000I8H2ZU,5.0
A1AU4WG25D1M1I,B000I8H2ZU,5.0
A2TYCANMRZQ9SK,B000I9S5BE,5.0
A250KHKTSW0D8Q,B000I9S5BE,5.0
A338ZJ8F0K1F43,B000I9S5BE,5.0
A3FU1Y1RC5EUIF,B000I9S5BE,1.0
A2U3LZ2KJB1071,B000I9S5BE,5.0
A1ITK3REEMXTGO,B000I9S5BE,5.0
A1TQBAHI3M4ZBQ,B000I9S5BE,5.0
A3AQ6Z6SRTSIS3,B000I9S5BE,5.0
A14RQYFJIDEKDX,B000I9S5BE,5.0
A1MF60XUU26417,B000I9S5BE,5.0
A19CXQPHO9E5ZT,B000I9S5BE,5.0
A2WNSWP6KMCK99,B000I9S5BE,5.0
A2VGLAMPPWCTJS,B000I9S5BE,5.0
A21HGY8ABK1S3B,B000I9S5BE,5.0
A2EORNKDK4RRX4,B000I9S5BE,5.0
A1KI5O2SNMVGIT,B000I9S5BE,5.0
A1WYAOUIIKBI3N,B000I9S5BE,5.0
AXRGYVS0G2IB6,B000I9S5BE,4.0
A1G9ZSWYWORQYD,B000I9S5BE,5.0
A332FB9E2DQNPE,B000I9S5BE,5.0
A2RM5ZSZJQL7WY,B000I9S5BE,5.0
A2TMN4MGF1OH0C,B000I9S5BE,5.0
A2WVEWJJ209YSE,B000I9S5BE,5.0
AEQKBT65V9ZQ6,B000I9S5BE,5.0
ATZDDDSAMIWWL,B000I9TWV6,5.0
A97SYN9QG1OOR,B000I9TWV6,5.0
A3EOHF2YSVZA9L,B000I9TWV6,5.0
AGXO0AH7D1284,B000I9TWV6,5.0
A3CZBXUTAW3HBV,B000I9TWV6,4.0
A26WHR1IP0A250,B000I9TWV6,4.0
AKH3U1WEXRLT2,B000I9TWV6,5.0
A16MNGKBV478ZS,B000I9TWV6,4.0
A3CN755I6UPMR0,B000I9TWV6,5.0
A3FU1Y1RC5EUIF,B000I9TWV6,5.0
A93MMFYEAOTXY,B000I9TWV6,5.0
A2FAFPND21JMIN,B000I9TWV6,5.0
A1UPCQEJVSTZPT,B000I9TWV6,4.0
AZ0O8WAEV9J0,B000I9TWV6,3.0
A14SF5SOJBZGT2,B000I9TWV6,4.0
A2HJFRQZGVSGEE,B000I9TWV6,5.0
A20CCVJU2RD853,B000I9TWV6,5.0
A2YLF4H83VP084,B000I9TWV6,4.0
A1X19U2WLS35W2,B000I9TWV6,5.0
ASV32EYIX7HV7,B000I9TWV6,5.0
A2PEU4WKCDJ107,B000I9TWV6,4.0
A3VU9TAIPQ2LBN,B000I9TWV6,5.0
A3K24OIL1BDDNT,B000I9TWV6,5.0
A19CXQPHO9E5ZT,B000I9TWV6,5.0
A1BX06Z8YC3RLS,B000I9TWV6,5.0
A3O4HWDCNLGEST,B000I9TWV6,3.0
AUOZZLT9ERJ6S,B000I9TWV6,5.0
A2QU74ZZPA27OI,B000I9TWV6,1.0
A2L24AUZ5CW6E4,B000I9TWV6,5.0
AICB3O50OQO63,B000I9TWV6,3.0
AL2TCIE6P8OS4,B000I9TWV6,5.0
ADLOUQU7A7561,B000I9TWV6,4.0
A19VJ2IQLO50G0,B000I9TWV6,4.0
A1KI5O2SNMVGIT,B000I9TWV6,5.0
A1VX5R7X7X7BQK,B000I9TWV6,5.0
A1D6UNQLQC9I1U,B000I9TWV6,5.0
AO2DZ7WIPM74U,B000I9TWV6,3.0
A1IKFBECFIKN1X,B000I9TWV6,5.0
A1COWJRBTXJWVY,B000I9TWV6,4.0
A2K152LG69WTK2,B000I9TWV6,5.0
A24V8UJZXMAB6M,B000I9TWV6,5.0
A3VQ1POM0N5388,B000I9TWV6,4.0
A2TO3FEFPPEW55,B000I9TWV6,1.0
A1R6E48W5J42Z,B000I9TWV6,4.0
A29DPIH2YXFKRJ,B000I9TWV6,5.0
ARHYU0IMJFOS5,B000I9TWV6,5.0
A2QPY7AWL38XY8,B000I9TWV6,3.0
ANIO9G5R8D6FF,B000I9TWV6,4.0
A3DGB4HN3QCGAL,B000IBUIS0,3.0
A72BEKNJCGJA8,B000IBUIS0,3.0
A853IU3HPURU,B000IBUIS0,5.0
AUCISQA1YXX86,B000IBUIS0,1.0
A21ZXM8XB9XJHK,B000IBUIS0,5.0
A3S48Q63UPO9L6,B000IBUIS0,5.0
A2ZT9K1PFBZ1L9,B000IBUIS0,5.0
A2M6G35BNRRWXS,B000IBUIS0,5.0
